prefix,value_label,value_label_split,value
 , , ,http://dbpedia.org/property//users/garthdrake/desktop/westernKentuckyUniversityLogoOnWhiteBgAp724311.jpgSchool
dbpprop,"07er,LombaburgerFounded","['er', 'Lombaburger', 'Founded']","http://dbpedia.org/property/07er,LombaburgerFounded"
 , , ,http://dbpedia.org/property/1/2Cup
dbpprop,10%22,[],http://dbpedia.org/property/10%22
dbpprop,10MinSuffix,"['Min', 'Suffix']",http://dbpedia.org/property/10MinSuffix
dbpprop,10gig,['gig'],http://dbpedia.org/property/10gig
dbpprop,10mPartner,"['m', 'Partner']",http://dbpedia.org/property/10mPartner
dbpprop,10sustained,['sustained'],http://dbpedia.org/property/10sustained
dbpprop,10v,['v'],http://dbpedia.org/property/10v
dbpprop,136789964914355378555873687111775978255&n,['n'],http://dbpedia.org/property/136789964914355378555873687111775978255&n
dbpprop,1500Chairman,['Chairman'],http://dbpedia.org/property/1500Chairman
dbpprop,1956Ground,['Ground'],http://dbpedia.org/property/1956Ground
dbpprop,1992PatternLa,"['Pattern', 'La']",http://dbpedia.org/property/1992PatternLa
dbpprop,1BirthPlace,"['Birth', 'Place']",http://dbpedia.org/property/1BirthPlace
dbpprop,1cLosses,"['c', 'Losses']",http://dbpedia.org/property/1cLosses
dbpprop,1cName,"['c', 'Name']",http://dbpedia.org/property/1cName
dbpprop,1cPlace,"['c', 'Place']",http://dbpedia.org/property/1cPlace
dbpprop,1cPlayoffs,"['c', 'Playoffs']",http://dbpedia.org/property/1cPlayoffs
dbpprop,1cWins,"['c', 'Wins']",http://dbpedia.org/property/1cWins
dbpprop,1captain,['captain'],http://dbpedia.org/property/1captain
dbpprop,1optio1Color,"['optio', 'Color']",http://dbpedia.org/property/1optio1Color
dbpprop,1stDeputy,"['st', 'Deputy']",http://dbpedia.org/property/1stDeputy
dbpprop,1stGradeCaptain,"['st', 'Grade', 'Captain']",http://dbpedia.org/property/1stGradeCaptain
dbpprop,1stSpouse,"['st', 'Spouse']",http://dbpedia.org/property/1stSpouse
dbpprop,1stVicechairman,"['st', 'Vicechairman']",http://dbpedia.org/property/1stVicechairman
dbpprop,1stroundcity,['stroundcity'],http://dbpedia.org/property/1stroundcity
dbpprop,1stxvCaptain,"['stxv', 'Captain']",http://dbpedia.org/property/1stxvCaptain
dbpprop,1sustained,['sustained'],http://dbpedia.org/property/1sustained
dbpprop,1v4Score,['Score'],http://dbpedia.org/property/1v4Score
 , , ,http://dbpedia.org/property/1v4W/l
dbpprop,1v5Score,['Score'],http://dbpedia.org/property/1v5Score
 , , ,http://dbpedia.org/property/1v5W/l
dbpprop,1v6Score,['Score'],http://dbpedia.org/property/1v6Score
 , , ,http://dbpedia.org/property/1v6W/l
dbpprop,1v6a,['a'],http://dbpedia.org/property/1v6a
dbpprop,1v7b,['b'],http://dbpedia.org/property/1v7b
dbpprop,2006MedianHhIncome,"['Median', 'Hh', 'Income']",http://dbpedia.org/property/2006MedianHhIncome
dbpprop,2008Position,['Position'],http://dbpedia.org/property/2008Position
dbpprop,"2009,2010,",[],"http://dbpedia.org/property/2009,2010,"
dbpprop,20092013ShoutAwards,"['Shout', 'Awards']",http://dbpedia.org/property/20092013ShoutAwards
dbpprop,2009AnugerahBintangPopular,"['Anugerah', 'Bintang', 'Popular']",http://dbpedia.org/property/2009AnugerahBintangPopular
dbpprop,2009AvimaAwards,"['Avima', 'Awards']",http://dbpedia.org/property/2009AvimaAwards
dbpprop,2010&2014AnugerahIndustriMuzik,"['Anugerah', 'Industri', 'Muzik']",http://dbpedia.org/property/2010&2014AnugerahIndustriMuzik
dbpprop,2011AnugerahIndustriMuzik,"['Anugerah', 'Industri', 'Muzik']",http://dbpedia.org/property/2011AnugerahIndustriMuzik
dbpprop,2011MedianHhIncome,"['Median', 'Hh', 'Income']",http://dbpedia.org/property/2011MedianHhIncome
